,country,fuel_type,year,1K_tonne_oil_equivalent
104,Italy,Motor gasoline,2008,"11,445.591"
105,Cyprus,Motor gasoline,2008,394.667
106,Latvia,Motor gasoline,2008,388.576
107,Lithuania,Motor gasoline,2008,437.544
108,Luxembourg,Motor gasoline,2008,421.976
109,Hungary,Motor gasoline,2008,"1,578.666"
110,Malta,Motor gasoline,2008,86.271
111,Netherlands,Motor gasoline,2008,"4,061.966"
112,Austria,Motor gasoline,2008,"1,875.866"
113,Poland,Motor gasoline,2008,"4,222.827"
114,Portugal,Motor gasoline,2008,"1,563.772"
115,Romania,Motor gasoline,2008,"1,509.527"
116,Slovenia,Motor gasoline,2008,673.439
117,Slovakia,Motor gasoline,2008,679.249
118,Finland,Motor gasoline,2008,"1,623.746"
119,Sweden,Motor gasoline,2008,"3,521.278"
120,Iceland,Motor gasoline,2008,164.004
121,Liechtenstein,Motor gasoline,2008,:
122,Norway,Motor gasoline,2008,"1,394.550"
123,Switzerland,Motor gasoline,2008,:
124,United Kingdom,Motor gasoline,2008,"17,674.865"
125,Montenegro,Motor gasoline,2008,53.251
126,North Macedonia,Motor gasoline,2008,123.518
127,Albania,Motor gasoline,2008,90.140
128,Serbia,Motor gasoline,2008,590.986
129,Turkey,Motor gasoline,2008,"2,452.646"
130,Bosnia and Herzegovina,Motor gasoline,2008,:
131,Kosovo (under United Nations Security Council Resolution 1244/99),Motor gasoline,2008,82.531
132,Moldova,Motor gasoline,2008,:
133,Ukraine,Motor gasoline,2008,"5,561.479"
134,Georgia,Motor gasoline,2008,:
135,European Union - 27 countries (from 2020),Blended biodiesels,2008,"5,887.594"
136,European Union - 28 countries (2013-2020),Blended biodiesels,2008,"6,580.462"
137,Euro area - 19 countries  (from 2015),Blended biodiesels,2008,"5,234.900"
138,Belgium,Blended biodiesels,2008,0.000
139,Bulgaria,Blended biodiesels,2008,1.767
140,Czechia,Blended biodiesels,2008,75.117
141,Denmark,Blended biodiesels,2008,0.000
142,Germany (until 1990 former territory of the FRG),Blended biodiesels,2008,"1,329.867"
143,Estonia,Blended biodiesels,2008,2.876
144,Ireland,Blended biodiesels,2008,35.148
145,Greece,Blended biodiesels,2008,67.163
146,Spain,Blended biodiesels,2008,534.127
147,France,Blended biodiesels,2008,"1,858.484"
148,Croatia,Blended biodiesels,2008,3.535
149,Italy,Blended biodiesels,2008,658.379
150,Cyprus,Blended biodiesels,2008,14.140
151,Latvia,Blended biodiesels,2008,1.777
152,Lithuania,Blended biodiesels,2008,45.954
153,Luxembourg,Blended biodiesels,2008,43.895
154,Hungary,Blended biodiesels,2008,118.229
155,Malta,Blended biodiesels,2008,0.000
156,Netherlands,Blended biodiesels,2008,179.397
157,Austria,Blended biodiesels,2008,247.067
158,Poland,Blended biodiesels,2008,304.003
159,Portugal,Blended biodiesels,2008,121.071
160,Romania,Blended biodiesels,2008,49.221
161,Slovenia,Blended biodiesels,2008,22.034
162,Slovakia,Blended biodiesels,2008,62.341
163,Finland,Blended biodiesels,2008,11.180
164,Sweden,Blended biodiesels,2008,100.822
165,Iceland,Blended biodiesels,2008,0.000
166,Liechtenstein,Blended biodiesels,2008,:
167,Norway,Blended biodiesels,2008,77.348
168,Switzerland,Blended biodiesels,2008,:
169,United Kingdom,Blended biodiesels,2008,692.868
170,Montenegro,Blended biodiesels,2008,0.000
171,North Macedonia,Blended biodiesels,2008,1.264
172,Albania,Blended biodiesels,2008,0.000
