,country,fuel_type,year,1K_tonne_oil_equivalent
124,United Kingdom,Electricity,2008,"10,300.946"
125,Montenegro,Electricity,2008,101.290
126,North Macedonia,Electricity,2008,269.475
127,Albania,Electricity,2008,200.000
128,Serbia,Electricity,2008,"1,212.210"
129,Turkey,Electricity,2008,"3,403.611"
130,Bosnia and Herzegovina,Electricity,2008,:
131,Kosovo (under United Nations Security Council Resolution 1244/99),Electricity,2008,191.660
132,Moldova,Electricity,2008,:
133,Ukraine,Electricity,2008,"2,687.876"
134,Georgia,Electricity,2008,:
135,European Union - 27 countries (from 2020),Primary solid biofuels,2008,"41,304.433"
136,European Union - 28 countries (2013-2020),Primary solid biofuels,2008,"42,056.821"
137,Euro area - 19 countries  (from 2015),Primary solid biofuels,2008,"29,949.794"
138,Belgium,Primary solid biofuels,2008,408.331
139,Bulgaria,Primary solid biofuels,2008,639.367
140,Czechia,Primary solid biofuels,2008,"1,363.715"
141,Denmark,Primary solid biofuels,2008,892.281
142,Germany (until 1990 former territory of the FRG),Primary solid biofuels,2008,"6,387.002"
143,Estonia,Primary solid biofuels,2008,388.363
144,Ireland,Primary solid biofuels,2008,20.431
145,Greece,Primary solid biofuels,2008,613.523
146,Spain,Primary solid biofuels,2008,"2,054.624"
147,France,Primary solid biofuels,2008,"6,225.017"
148,Croatia,Primary solid biofuels,2008,"1,057.753"
149,Italy,Primary solid biofuels,2008,"7,653.124"
150,Cyprus,Primary solid biofuels,2008,2.938
151,Latvia,Primary solid biofuels,2008,719.117
152,Lithuania,Primary solid biofuels,2008,573.063
153,Luxembourg,Primary solid biofuels,2008,15.422
154,Hungary,Primary solid biofuels,2008,911.985
155,Malta,Primary solid biofuels,2008,0.000
156,Netherlands,Primary solid biofuels,2008,388.162
157,Austria,Primary solid biofuels,2008,"1,539.226"
158,Poland,Primary solid biofuels,2008,"2,448.170"
159,Portugal,Primary solid biofuels,2008,"1,160.791"
160,Romania,Primary solid biofuels,2008,"3,423.402"
161,Slovenia,Primary solid biofuels,2008,551.424
162,Slovakia,Primary solid biofuels,2008,35.493
163,Finland,Primary solid biofuels,2008,"1,213.743"
164,Sweden,Primary solid biofuels,2008,617.966
165,Iceland,Primary solid biofuels,2008,0.000
166,Liechtenstein,Primary solid biofuels,2008,:
167,Norway,Primary solid biofuels,2008,605.331
168,Switzerland,Primary solid biofuels,2008,:
169,United Kingdom,Primary solid biofuels,2008,752.388
170,Montenegro,Primary solid biofuels,2008,145.075
171,North Macedonia,Primary solid biofuels,2008,179.182
172,Albania,Primary solid biofuels,2008,179.994
173,Serbia,Primary solid biofuels,2008,667.813
174,Turkey,Primary solid biofuels,2008,"4,755.589"
175,Bosnia and Herzegovina,Primary solid biofuels,2008,:
176,Kosovo (under United Nations Security Council Resolution 1244/99),Primary solid biofuels,2008,215.487
177,Moldova,Primary solid biofuels,2008,:
178,Ukraine,Primary solid biofuels,2008,"1,065.109"
179,Georgia,Primary solid biofuels,2008,:
180,European Union - 27 countries (from 2020),Gas oil and diesel oil ,2008,"35,954.492"
181,European Union - 28 countries (2013-2020),Gas oil and diesel oil ,2008,"36,122.926"
182,Euro area - 19 countries  (from 2015),Gas oil and diesel oil ,2008,"34,805.100"
183,Belgium,Gas oil and diesel oil ,2008,"3,212.195"
184,Bulgaria,Gas oil and diesel oil ,2008,1.010
185,Czechia,Gas oil and diesel oil ,2008,0.000
186,Denmark,Gas oil and diesel oil ,2008,433.556
187,Germany (until 1990 former territory of the FRG),Gas oil and diesel oil ,2008,"15,260.550"
188,Estonia,Gas oil and diesel oil ,2008,7.072
189,Ireland,Gas oil and diesel oil ,2008,552.121
190,Greece,Gas oil and diesel oil ,2008,"2,523.431"
191,Spain,Gas oil and diesel oil ,2008,"1,908.235"
192,France,Gas oil and diesel oil ,2008,"6,696.216"
193,Croatia,Gas oil and diesel oil ,2008,154.037
194,Italy,Gas oil and diesel oil ,2008,"2,385.999"
195,Cyprus,Gas oil and diesel oil ,2008,80.075
196,Latvia,Gas oil and diesel oil ,2008,3.045
197,Lithuania,Gas oil and diesel oil ,2008,2.057
198,Luxembourg,Gas oil and diesel oil ,2008,225.598
199,Hungary,Gas oil and diesel oil ,2008,0.000
200,Malta,Gas oil and diesel oil ,2008,0.000
201,Netherlands,Gas oil and diesel oil ,2008,7.223
202,Austria,Gas oil and diesel oil ,2008,"1,176.092"
203,Poland,Gas oil and diesel oil ,2008,277.300
204,Portugal,Gas oil and diesel oil ,2008,7.189
205,Romania,Gas oil and diesel oil ,2008,0.000
206,Slovenia,Gas oil and diesel oil ,2008,271.668
207,Slovakia,Gas oil and diesel oil ,2008,0.000
208,Finland,Gas oil and diesel oil ,2008,486.334
209,Sweden,Gas oil and diesel oil ,2008,283.489
210,Iceland,Gas oil and diesel oil ,2008,2.054
211,Liechtenstein,Gas oil and diesel oil ,2008,:
212,Norway,Gas oil and diesel oil ,2008,78.236
213,Switzerland,Gas oil and diesel oil ,2008,:
214,United Kingdom,Gas oil and diesel oil ,2008,168.434
215,Montenegro,Gas oil and diesel oil ,2008,1.020
216,North Macedonia,Gas oil and diesel oil ,2008,33.872
217,Albania,Gas oil and diesel oil ,2008,0.000
218,Serbia,Gas oil and diesel oil ,2008,1.037
219,Turkey,Gas oil and diesel oil ,2008,0.000
220,Bosnia and Herzegovina,Gas oil and diesel oil ,2008,:
221,Kosovo (under United Nations Security Council Resolution 1244/99),Gas oil and diesel oil ,2008,8.216
222,Moldova,Gas oil and diesel oil ,2008,:
223,Ukraine,Gas oil and diesel oil ,2008,0.000
224,Georgia,Gas oil and diesel oil ,2008,:
225,European Union - 27 countries (from 2020),Heat,2008,"21,421.042"
226,European Union - 28 countries (2013-2020),Heat,2008,"21,472.967"
227,Euro area - 19 countries  (from 2015),Heat,2008,"9,864.293"
228,Belgium,Heat,2008,13.901
229,Bulgaria,Heat,2008,351.533
230,Czechia,Heat,2008,"1,145.768"
231,Denmark,Heat,2008,"1,520.827"
232,Germany (until 1990 former territory of the FRG),Heat,2008,"4,410.624"
233,Estonia,Heat,2008,333.883
234,Ireland,Heat,2008,0.000
235,Greece,Heat,2008,43.876
236,Spain,Heat,2008,0.000
237,France,Heat,2008,"1,360.599"
238,Croatia,Heat,2008,143.260
239,Italy,Heat,2008,43.255
240,Cyprus,Heat,2008,0.000
241,Latvia,Heat,2008,391.564
242,Lithuania,Heat,2008,507.786
243,Luxembourg,Heat,2008,0.000
244,Hungary,Heat,2008,554.290
245,Malta,Heat,2008,0.000
246,Netherlands,Heat,2008,235.359
247,Austria,Heat,2008,503.335
248,Poland,Heat,2008,"4,179.803"
249,Portugal,Heat,2008,0.812
250,Romania,Heat,2008,"1,206.052"
251,Slovenia,Heat,2008,99.551
252,Slovakia,Heat,2008,442.964
253,Finland,Heat,2008,"1,476.784"
254,Sweden,Heat,2008,"2,455.216"
255,Iceland,Heat,2008,269.299
256,Liechtenstein,Heat,2008,:
257,Norway,Heat,2008,61.766
258,Switzerland,Heat,2008,:
259,United Kingdom,Heat,2008,51.925
260,Montenegro,Heat,2008,0.000
261,North Macedonia,Heat,2008,35.278
262,Albania,Heat,2008,0.000
263,Serbia,Heat,2008,362.114
264,Turkey,Heat,2008,0.000
265,Bosnia and Herzegovina,Heat,2008,:
266,Kosovo (under United Nations Security Council Resolution 1244/99),Heat,2008,6.950
267,Moldova,Heat,2008,:
268,Ukraine,Heat,2008,"4,403.482"
269,Georgia,Heat,2008,:
270,European Union - 27 countries (from 2020),Solid fossil fuels,2008,"9,378.795"
271,European Union - 28 countries (2013-2020),Solid fossil fuels,2008,"10,091.277"
272,Euro area - 19 countries  (from 2015),Solid fossil fuels,2008,"1,638.638"
273,Belgium,Solid fossil fuels,2008,129.008
274,Bulgaria,Solid fossil fuels,2008,198.504
275,Czechia,Solid fossil fuels,2008,645.114
276,Denmark,Solid fossil fuels,2008,0.437
277,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2008,651.705
278,Estonia,Solid fossil fuels,2008,5.837
279,Ireland,Solid fossil fuels,2008,215.248
280,Greece,Solid fossil fuels,2008,5.802
281,Spain,Solid fossil fuels,2008,192.140
282,France,Solid fossil fuels,2008,228.193
283,Croatia,Solid fossil fuels,2008,4.901
284,Italy,Solid fossil fuels,2008,4.267
285,Cyprus,Solid fossil fuels,2008,0.000
286,Latvia,Solid fossil fuels,2008,19.414
287,Lithuania,Solid fossil fuels,2008,38.965
288,Luxembourg,Solid fossil fuels,2008,0.474
289,Hungary,Solid fossil fuels,2008,162.573
290,Malta,Solid fossil fuels,2008,0.000
291,Netherlands,Solid fossil fuels,2008,6.332
292,Austria,Solid fossil fuels,2008,77.811
293,Poland,Solid fossil fuels,2008,"6,681.677"
294,Portugal,Solid fossil fuels,2008,0.000
295,Romania,Solid fossil fuels,2008,46.951
296,Slovenia,Solid fossil fuels,2008,0.000
297,Slovakia,Solid fossil fuels,2008,62.855
298,Finland,Solid fossil fuels,2008,0.587
299,Sweden,Solid fossil fuels,2008,0.000
300,Iceland,Solid fossil fuels,2008,0.000
301,Liechtenstein,Solid fossil fuels,2008,:
302,Norway,Solid fossil fuels,2008,0.000
303,Switzerland,Solid fossil fuels,2008,:
304,United Kingdom,Solid fossil fuels,2008,712.482
305,Montenegro,Solid fossil fuels,2008,3.740
306,North Macedonia,Solid fossil fuels,2008,3.058
307,Albania,Solid fossil fuels,2008,0.000
308,Serbia,Solid fossil fuels,2008,437.573
309,Turkey,Solid fossil fuels,2008,"2,501.042"
310,Bosnia and Herzegovina,Solid fossil fuels,2008,:
