,country,fuel_type,year,1K_tonne_oil_equivalent
106,Latvia,Motor gasoline,2008,388.576
107,Lithuania,Motor gasoline,2008,437.544
108,Luxembourg,Motor gasoline,2008,421.976
109,Hungary,Motor gasoline,2008,"1,578.666"
110,Malta,Motor gasoline,2008,86.271
111,Netherlands,Motor gasoline,2008,"4,061.966"
112,Austria,Motor gasoline,2008,"1,873.212"
113,Poland,Motor gasoline,2008,"4,222.827"
114,Portugal,Motor gasoline,2008,"1,563.772"
115,Romania,Motor gasoline,2008,"1,509.527"
116,Slovenia,Motor gasoline,2008,673.439
117,Slovakia,Motor gasoline,2008,679.249
118,Finland,Motor gasoline,2008,"1,585.746"
119,Sweden,Motor gasoline,2008,"3,521.278"
120,Iceland,Motor gasoline,2008,164.004
121,Liechtenstein,Motor gasoline,2008,:
122,Norway,Motor gasoline,2008,"1,353.657"
123,Switzerland,Motor gasoline,2008,:
124,United Kingdom,Motor gasoline,2008,"17,674.865"
125,Montenegro,Motor gasoline,2008,53.251
126,North Macedonia,Motor gasoline,2008,123.518
127,Albania,Motor gasoline,2008,79.536
128,Serbia,Motor gasoline,2008,590.986
129,Turkey,Motor gasoline,2008,"2,452.646"
130,Bosnia and Herzegovina,Motor gasoline,2008,:
131,Kosovo (under United Nations Security Council Resolution 1244/99),Motor gasoline,2008,82.531
132,Moldova,Motor gasoline,2008,:
133,Ukraine,Motor gasoline,2008,"5,561.479"
134,Georgia,Motor gasoline,2008,:
135,European Union - 27 countries (from 2020),Blended biodiesels,2008,"5,863.900"
136,European Union - 28 countries (2013-2020),Blended biodiesels,2008,"6,556.768"
137,Euro area - 19 countries  (from 2015),Blended biodiesels,2008,"5,211.206"
138,Belgium,Blended biodiesels,2008,0.000
139,Bulgaria,Blended biodiesels,2008,1.767
140,Czechia,Blended biodiesels,2008,75.117
141,Denmark,Blended biodiesels,2008,0.000
142,Germany (until 1990 former territory of the FRG),Blended biodiesels,2008,"1,308.575"
143,Estonia,Blended biodiesels,2008,2.876
144,Ireland,Blended biodiesels,2008,35.148
145,Greece,Blended biodiesels,2008,67.163
146,Spain,Blended biodiesels,2008,534.127
147,France,Blended biodiesels,2008,"1,858.484"
148,Croatia,Blended biodiesels,2008,3.535
149,Italy,Blended biodiesels,2008,658.379
150,Cyprus,Blended biodiesels,2008,14.140
151,Latvia,Blended biodiesels,2008,1.777
152,Lithuania,Blended biodiesels,2008,45.954
153,Luxembourg,Blended biodiesels,2008,43.895
154,Hungary,Blended biodiesels,2008,118.229
155,Malta,Blended biodiesels,2008,0.000
156,Netherlands,Blended biodiesels,2008,179.397
157,Austria,Blended biodiesels,2008,244.665
158,Poland,Blended biodiesels,2008,304.003
159,Portugal,Blended biodiesels,2008,121.071
160,Romania,Blended biodiesels,2008,49.221
161,Slovenia,Blended biodiesels,2008,22.034
162,Slovakia,Blended biodiesels,2008,62.341
163,Finland,Blended biodiesels,2008,11.180
164,Sweden,Blended biodiesels,2008,100.822
165,Iceland,Blended biodiesels,2008,0.000
166,Liechtenstein,Blended biodiesels,2008,:
167,Norway,Blended biodiesels,2008,77.348
168,Switzerland,Blended biodiesels,2008,:
169,United Kingdom,Blended biodiesels,2008,692.868
170,Montenegro,Blended biodiesels,2008,0.000
171,North Macedonia,Blended biodiesels,2008,1.264
172,Albania,Blended biodiesels,2008,0.000
173,Serbia,Blended biodiesels,2008,0.000
174,Turkey,Blended biodiesels,2008,8.837
175,Bosnia and Herzegovina,Blended biodiesels,2008,:
176,Kosovo (under United Nations Security Council Resolution 1244/99),Blended biodiesels,2008,0.000
177,Moldova,Blended biodiesels,2008,:
178,Ukraine,Blended biodiesels,2008,0.000
179,Georgia,Blended biodiesels,2008,:
180,European Union - 27 countries (from 2020),Liquefied petroleum gases,2008,"4,895.582"
181,European Union - 28 countries (2013-2020),Liquefied petroleum gases,2008,"5,032.641"
182,Euro area - 19 countries  (from 2015),Liquefied petroleum gases,2008,"2,343.734"
183,Belgium,Liquefied petroleum gases,2008,63.724
184,Bulgaria,Liquefied petroleum gases,2008,364.765
185,Czechia,Liquefied petroleum gases,2008,81.648
186,Denmark,Liquefied petroleum gases,2008,4.395
187,Germany (until 1990 former territory of the FRG),Liquefied petroleum gases,2008,373.847
188,Estonia,Liquefied petroleum gases,2008,2.378
189,Ireland,Liquefied petroleum gases,2008,0.900
190,Greece,Liquefied petroleum gases,2008,13.557
191,Spain,Liquefied petroleum gases,2008,14.687
192,France,Liquefied petroleum gases,2008,121.955
193,Croatia,Liquefied petroleum gases,2008,77.276
194,Italy,Liquefied petroleum gases,2008,"1,101.987"
195,Cyprus,Liquefied petroleum gases,2008,0.000
196,Latvia,Liquefied petroleum gases,2008,22.842
197,Lithuania,Liquefied petroleum gases,2008,205.114
198,Luxembourg,Liquefied petroleum gases,2008,2.197
199,Hungary,Liquefied petroleum gases,2008,30.310
200,Malta,Liquefied petroleum gases,2008,0.000
201,Netherlands,Liquefied petroleum gases,2008,368.105
202,Austria,Liquefied petroleum gases,2008,23.872
203,Poland,Liquefied petroleum gases,2008,"1,942.025"
204,Portugal,Liquefied petroleum gases,2008,26.369
205,Romania,Liquefied petroleum gases,2008,50.587
206,Slovenia,Liquefied petroleum gases,2008,2.200
207,Slovakia,Liquefied petroleum gases,2008,0.000
208,Finland,Liquefied petroleum gases,2008,0.000
209,Sweden,Liquefied petroleum gases,2008,0.842
210,Iceland,Liquefied petroleum gases,2008,0.000
211,Liechtenstein,Liquefied petroleum gases,2008,:
212,Norway,Liquefied petroleum gases,2008,2.202
213,Switzerland,Liquefied petroleum gases,2008,:
214,United Kingdom,Liquefied petroleum gases,2008,137.059
215,Montenegro,Liquefied petroleum gases,2008,0.000
216,North Macedonia,Liquefied petroleum gases,2008,50.372
217,Albania,Liquefied petroleum gases,2008,0.000
218,Serbia,Liquefied petroleum gases,2008,340.131
219,Turkey,Liquefied petroleum gases,2008,"2,386.013"
220,Bosnia and Herzegovina,Liquefied petroleum gases,2008,:
221,Kosovo (under United Nations Security Council Resolution 1244/99),Liquefied petroleum gases,2008,13.439
222,Moldova,Liquefied petroleum gases,2008,:
223,Ukraine,Liquefied petroleum gases,2008,665.807
224,Georgia,Liquefied petroleum gases,2008,:
225,European Union - 27 countries (from 2020),Blended biogasoline,2008,"1,675.201"
226,European Union - 28 countries (2013-2020),Blended biogasoline,2008,"1,780.280"
227,Euro area - 19 countries  (from 2015),Blended biogasoline,2008,"1,269.164"
228,Belgium,Blended biogasoline,2008,0.000
229,Bulgaria,Blended biogasoline,2008,0.000
230,Czechia,Blended biogasoline,2008,34.824
231,Denmark,Blended biogasoline,2008,5.102
232,Germany (until 1990 former territory of the FRG),Blended biogasoline,2008,397.313
233,Estonia,Blended biogasoline,2008,1.280
234,Ireland,Blended biogasoline,2008,18.119
235,Greece,Blended biogasoline,2008,0.000
236,Spain,Blended biogasoline,2008,92.863
237,France,Blended biogasoline,2008,436.586
238,Croatia,Blended biogasoline,2008,0.000
239,Italy,Blended biogasoline,2008,70.507
240,Cyprus,Blended biogasoline,2008,0.000
241,Latvia,Blended biogasoline,2008,0.000
242,Lithuania,Blended biogasoline,2008,15.477
243,Luxembourg,Blended biogasoline,2008,0.922
244,Hungary,Blended biogasoline,2008,46.379
245,Malta,Blended biogasoline,2008,0.000
246,Netherlands,Blended biogasoline,2008,107.841
247,Austria,Blended biogasoline,2008,54.101
248,Poland,Blended biogasoline,2008,127.687
249,Portugal,Blended biogasoline,2008,0.000
250,Romania,Blended biogasoline,2008,0.000
251,Slovenia,Blended biogasoline,2008,2.558
252,Slovakia,Blended biogasoline,2008,11.803
253,Finland,Blended biogasoline,2008,59.794
254,Sweden,Blended biogasoline,2008,192.045
255,Iceland,Blended biogasoline,2008,0.000
256,Liechtenstein,Blended biogasoline,2008,:
257,Norway,Blended biogasoline,2008,0.640
258,Switzerland,Blended biogasoline,2008,:
259,United Kingdom,Blended biogasoline,2008,105.079
260,Montenegro,Blended biogasoline,2008,0.000
261,North Macedonia,Blended biogasoline,2008,0.000
262,Albania,Blended biogasoline,2008,0.000
263,Serbia,Blended biogasoline,2008,0.000
264,Turkey,Blended biogasoline,2008,6.449
265,Bosnia and Herzegovina,Blended biogasoline,2008,:
266,Kosovo (under United Nations Security Council Resolution 1244/99),Blended biogasoline,2008,0.000
267,Moldova,Blended biogasoline,2008,:
268,Ukraine,Blended biogasoline,2008,0.000
269,Georgia,Blended biogasoline,2008,:
270,European Union - 27 countries (from 2020),Natural gas,2008,816.545
271,European Union - 28 countries (2013-2020),Natural gas,2008,816.545
272,Euro area - 19 countries  (from 2015),Natural gas,2008,750.358
273,Belgium,Natural gas,2008,0.000
274,Bulgaria,Natural gas,2008,35.039
275,Czechia,Natural gas,2008,5.525
276,Denmark,Natural gas,2008,0.000
277,Germany (until 1990 former territory of the FRG),Natural gas,2008,96.732
278,Estonia,Natural gas,2008,0.000
279,Ireland,Natural gas,2008,0.000
280,Greece,Natural gas,2008,14.188
281,Spain,Natural gas,2008,36.909
282,France,Natural gas,2008,29.471
283,Croatia,Natural gas,2008,0.000
284,Italy,Natural gas,2008,549.570
285,Cyprus,Natural gas,2008,0.000
286,Latvia,Natural gas,2008,0.795
287,Lithuania,Natural gas,2008,0.000
288,Luxembourg,Natural gas,2008,0.000
289,Hungary,Natural gas,2008,1.569
290,Malta,Natural gas,2008,0.000
291,Netherlands,Natural gas,2008,3.117
292,Austria,Natural gas,2008,3.261
293,Poland,Natural gas,2008,0.000
294,Portugal,Natural gas,2008,12.016
295,Romania,Natural gas,2008,0.000
296,Slovenia,Natural gas,2008,0.000
297,Slovakia,Natural gas,2008,0.000
298,Finland,Natural gas,2008,4.299
299,Sweden,Natural gas,2008,24.054
300,Iceland,Natural gas,2008,0.000
301,Liechtenstein,Natural gas,2008,:
302,Norway,Natural gas,2008,3.267
303,Switzerland,Natural gas,2008,:
304,United Kingdom,Natural gas,2008,0.000
305,Montenegro,Natural gas,2008,0.000
306,North Macedonia,Natural gas,2008,0.236
307,Albania,Natural gas,2008,0.000
308,Serbia,Natural gas,2008,1.247
309,Turkey,Natural gas,2008,25.795
310,Bosnia and Herzegovina,Natural gas,2008,:
311,Kosovo (under United Nations Security Council Resolution 1244/99),Natural gas,2008,0.000
312,Moldova,Natural gas,2008,:
313,Ukraine,Natural gas,2008,54.428
314,Georgia,Natural gas,2008,:
315,European Union - 27 countries (from 2020),Pure biodiesels,2008,"1,067.978"
316,European Union - 28 countries (2013-2020),Pure biodiesels,2008,"1,067.978"
317,Euro area - 19 countries  (from 2015),Pure biodiesels,2008,"1,001.624"
318,Belgium,Pure biodiesels,2008,0.000
319,Bulgaria,Pure biodiesels,2008,0.000
320,Czechia,Pure biodiesels,2008,0.000
321,Denmark,Pure biodiesels,2008,0.000
322,Germany (until 1990 former territory of the FRG),Pure biodiesels,2008,904.913
323,Estonia,Pure biodiesels,2008,0.000
324,Ireland,Pure biodiesels,2008,2.671
325,Greece,Pure biodiesels,2008,0.000
326,Spain,Pure biodiesels,2008,0.000
327,France,Pure biodiesels,2008,0.000
328,Croatia,Pure biodiesels,2008,0.000
329,Italy,Pure biodiesels,2008,0.000
330,Cyprus,Pure biodiesels,2008,0.000
331,Latvia,Pure biodiesels,2008,0.000
332,Lithuania,Pure biodiesels,2008,0.000
333,Luxembourg,Pure biodiesels,2008,0.000
334,Hungary,Pure biodiesels,2008,0.000
335,Malta,Pure biodiesels,2008,0.000
336,Netherlands,Pure biodiesels,2008,0.000
337,Austria,Pure biodiesels,2008,94.040
338,Poland,Pure biodiesels,2008,5.370
339,Portugal,Pure biodiesels,2008,0.000
340,Romania,Pure biodiesels,2008,57.900
341,Slovenia,Pure biodiesels,2008,0.000
342,Slovakia,Pure biodiesels,2008,0.000
343,Finland,Pure biodiesels,2008,0.000
344,Sweden,Pure biodiesels,2008,3.084
345,Iceland,Pure biodiesels,2008,0.000
346,Liechtenstein,Pure biodiesels,2008,:
347,Norway,Pure biodiesels,2008,0.000
348,Switzerland,Pure biodiesels,2008,:
349,United Kingdom,Pure biodiesels,2008,0.000
350,Montenegro,Pure biodiesels,2008,0.000
351,North Macedonia,Pure biodiesels,2008,0.000
352,Albania,Pure biodiesels,2008,0.000
353,Serbia,Pure biodiesels,2008,0.000
354,Turkey,Pure biodiesels,2008,0.000
355,Bosnia and Herzegovina,Pure biodiesels,2008,:
356,Kosovo (under United Nations Security Council Resolution 1244/99),Pure biodiesels,2008,0.000
357,Moldova,Pure biodiesels,2008,:
358,Ukraine,Pure biodiesels,2008,0.000
359,Georgia,Pure biodiesels,2008,:
360,European Union - 27 countries (from 2020),Biogases,2008,19.060
361,European Union - 28 countries (2013-2020),Biogases,2008,19.060
362,Euro area - 19 countries  (from 2015),Biogases,2008,0.334
363,Belgium,Biogases,2008,0.000
364,Bulgaria,Biogases,2008,0.000
365,Czechia,Biogases,2008,0.000
366,Denmark,Biogases,2008,0.000
367,Germany (until 1990 former territory of the FRG),Biogases,2008,0.334
368,Estonia,Biogases,2008,0.000
369,Ireland,Biogases,2008,0.000
370,Greece,Biogases,2008,0.000
371,Spain,Biogases,2008,0.000
372,France,Biogases,2008,0.000
373,Croatia,Biogases,2008,0.000
374,Italy,Biogases,2008,0.000
375,Cyprus,Biogases,2008,0.000
376,Latvia,Biogases,2008,0.000
377,Lithuania,Biogases,2008,0.000
378,Luxembourg,Biogases,2008,0.000
379,Hungary,Biogases,2008,0.000
380,Malta,Biogases,2008,0.000
381,Netherlands,Biogases,2008,0.000
382,Austria,Biogases,2008,0.000
383,Poland,Biogases,2008,0.000
384,Portugal,Biogases,2008,0.000
385,Romania,Biogases,2008,0.000
386,Slovenia,Biogases,2008,0.000
387,Slovakia,Biogases,2008,0.000
388,Finland,Biogases,2008,0.000
389,Sweden,Biogases,2008,18.726
390,Iceland,Biogases,2008,0.310
391,Liechtenstein,Biogases,2008,:
392,Norway,Biogases,2008,0.000
393,Switzerland,Biogases,2008,:
394,United Kingdom,Biogases,2008,0.000
395,Montenegro,Biogases,2008,0.000
396,North Macedonia,Biogases,2008,0.000
397,Albania,Biogases,2008,0.000
398,Serbia,Biogases,2008,0.000
399,Turkey,Biogases,2008,0.000
400,Bosnia and Herzegovina,Biogases,2008,:
401,Kosovo (under United Nations Security Council Resolution 1244/99),Biogases,2008,0.000
402,Moldova,Biogases,2008,:
403,Ukraine,Biogases,2008,0.000
404,Georgia,Biogases,2008,:
405,European Union - 27 countries (from 2020),Electricity,2008,26.325
406,European Union - 28 countries (2013-2020),Electricity,2008,27.873
407,Euro area - 19 countries  (from 2015),Electricity,2008,13.857
408,Belgium,Electricity,2008,0.000
409,Bulgaria,Electricity,2008,4.471
410,Czechia,Electricity,2008,6.105
411,Denmark,Electricity,2008,0.000
412,Germany (until 1990 former territory of the FRG),Electricity,2008,1.462
413,Estonia,Electricity,2008,0.000
414,Ireland,Electricity,2008,0.000
415,Greece,Electricity,2008,0.000
416,Spain,Electricity,2008,0.000
417,France,Electricity,2008,0.000
418,Croatia,Electricity,2008,0.000
419,Italy,Electricity,2008,0.000
420,Cyprus,Electricity,2008,0.000
421,Latvia,Electricity,2008,6.535
422,Lithuania,Electricity,2008,4.041
423,Luxembourg,Electricity,2008,0.000
424,Hungary,Electricity,2008,0.000
425,Malta,Electricity,2008,0.000
426,Netherlands,Electricity,2008,0.602
