,Country Name,Land Area(sq.km),Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,population density/sq.km
10,Spain,499547.35,ESP,"Population, total",SP.POP.TOTL,30455000.0,30739250.0,31023366.0,31296651.0,31609195.0,31954292.0,32283194.0,32682947.0,33113134.0,33441054.0,33814531.0,34224490.0,34604469.0,34988947.0,35373335.0,35757900.0,36137812.0,36511638.0,36864898.0,37191330.0,37491165.0,37758631.0,37986012.0,38171525.0,38330364.0,38469512.0,38584624.0,38684815.0,38766939.0,38827764.0,38867322.0,38966376.0,39157685.0,39361262.0,39549108.0,39724050.0,39889852.0,40057389.0,40223509.0,40386875.0,40567864.0,40850412.0,41431558.0,42187645.0,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47133521.0,47351567.0,94.79
11,Estonia,43470.0,EST,"Population, total",SP.POP.TOTL,1211537.0,1225077.0,1241623.0,1258857.0,1277086.0,1294566.0,1308597.0,1318946.0,1331214.0,1345249.0,1360076.0,1376955.0,1392518.0,1405951.0,1418169.0,1429352.0,1439576.0,1450211.0,1460188.0,1468333.0,1477219.0,1487666.0,1498414.0,1508745.0,1518617.0,1528781.0,1540190.0,1552221.0,1561900.0,1568131.0,1569174.0,1561314.0,1533091.0,1494128.0,1462514.0,1436634.0,1415594.0,1399535.0,1386156.0,1390244.0,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1331057.0,30.62
12,Finland,303920.0,FIN,"Population, total",SP.POP.TOTL,4429634.0,4461005.0,4491443.0,4523309.0,4548543.0,4563732.0,4580869.0,4605744.0,4626469.0,4623785.0,4606307.0,4612124.0,4639657.0,4666081.0,4690574.0,4711440.0,4725664.0,4738902.0,4752528.0,4764690.0,4779535.0,4799964.0,4826933.0,4855787.0,4881803.0,4902206.0,4918154.0,4932123.0,4946481.0,4964371.0,4986431.0,5013740.0,5041992.0,5066447.0,5088333.0,5107790.0,5124573.0,5139835.0,5153498.0,5165474.0,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5530719.0,18.2
13,France,547557.0,FRA,"Population, total",SP.POP.TOTL,46621688.0,47240526.0,47904879.0,48582624.0,49230585.0,49818019.0,50330268.0,50775788.0,51175507.0,51561833.0,51957747.0,52371320.0,52793151.0,53207744.0,53592235.0,53931390.0,54220033.0,54467709.0,54691866.0,54917110.0,55161510.0,55430278.0,55718940.0,56023775.0,56337675.0,56654703.0,56976126.0,57302642.0,57627106.0,57940199.0,58235716.0,58559309.0,58851216.0,59106758.0,59327200.0,59541904.0,59753095.0,59964841.0,60186284.0,60496708.0,60912500.0,61357432.0,61805266.0,62244880.0,62704901.0,63179356.0,63621376.0,64016227.0,64374979.0,64707035.0,65027505.0,65342789.0,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0,67248926.0,67391582.0,123.08
14,United Kingdom,241930.0,GBR,"Population, total",SP.POP.TOTL,52400000.0,52800000.0,53250000.0,53650000.0,54000000.0,54348050.0,54648500.0,54943600.0,55211700.0,55441750.0,55663250.0,55896223.0,56086065.0,56194527.0,56229974.0,56225800.0,56211968.0,56193492.0,56196504.0,56246951.0,56314216.0,56333829.0,56313641.0,56332848.0,56422072.0,56550268.0,56681396.0,56802050.0,56928327.0,57076711.0,57247586.0,57424897.0,57580402.0,57718614.0,57865745.0,58019030.0,58166950.0,58316954.0,58487141.0,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67215293.0,277.83
15,Georgia,69490.0,GEO,"Population, total",SP.POP.TOTL,3645600.0,3703600.0,3760300.0,3816100.0,3870300.0,3921600.0,3966700.0,4005800.0,4042300.0,4080300.0,4119900.0,4163000.0,4205300.0,4242500.0,4279500.0,4311200.0,4342400.0,4372100.0,4397700.0,4430200.0,4467700.0,4504500.0,4542800.0,4582900.0,4622200.0,4662900.0,4704500.0,4743500.0,4790700.0,4803300.0,4802000.0,4835900.0,4873500.0,4911100.0,4836076.0,4657722.0,4491699.0,4349913.0,4243607.0,4157192.0,4077131.0,4014373.0,3978515.0,3951736.0,3927340.0,3902469.0,3880347.0,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,3714000.0,53.45
16,Greece,128900.0,GRC,"Population, total",SP.POP.TOTL,8331725.0,8398050.0,8448233.0,8479625.0,8510429.0,8550333.0,8613651.0,8684088.0,8740765.0,8772764.0,8792806.0,8831036.0,8888628.0,8929086.0,8962022.0,9046541.0,9188150.0,9308479.0,9429959.0,9548258.0,9642505.0,9729350.0,9789513.0,9846627.0,9895801.0,9934300.0,9967213.0,10000595.0,10036983.0,10089498.0,10196792.0,10319927.0,10399061.0,10460415.0,10512922.0,10562153.0,10608800.0,10661259.0,10720509.0,10761698.0,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,10715549.0,83.13
17,Croatia,56590.0,HRV,"Population, total",SP.POP.TOTL,4140181.0,4167292.0,4196712.0,4225675.0,4252876.0,4280923.0,4310701.0,4338683.0,4365628.0,4391490.0,4412252.0,4431275.0,4450564.0,4470161.0,4490660.0,4512082.0,4535934.0,4559571.0,4581085.0,4594778.0,4599782.0,4611509.0,4634234.0,4658254.0,4680285.0,4701417.0,4721446.0,4739745.0,4755207.0,4767260.0,4777368.0,4689022.0,4575818.0,4600463.0,4652024.0,4620030.0,4557097.0,4534920.0,4532135.0,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047200.0,71.52
18,Hungary,91260.0,HUN,"Population, total",SP.POP.TOTL,9983967.0,10029321.0,10061734.0,10087947.0,10119835.0,10147935.0,10178653.0,10216604.0,10255815.0,10298723.0,10337910.0,10367537.0,10398489.0,10432055.0,10478720.0,10540525.0,10598677.0,10648031.0,10684822.0,10704152.0,10711122.0,10711848.0,10705535.0,10689463.0,10668095.0,10648713.0,10630564.0,10612741.0,10596487.0,10481719.0,10373988.0,10373400.0,10369341.0,10357523.0,10343355.0,10328965.0,10311238.0,10290486.0,10266570.0,10237530.0,10210971.0,10187576.0,10158608.0,10129552.0,10107146.0,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9771141.0,9749763.0,106.84
19,Ireland,68890.0,IRL,"Population, total",SP.POP.TOTL,2828600.0,2824400.0,2836050.0,2852650.0,2866550.0,2877300.0,2888800.0,2902450.0,2915550.0,2932650.0,2957250.0,2992050.0,3036850.0,3085950.0,3137500.0,3189550.0,3238050.0,3282200.0,3329100.0,3373750.0,3412800.0,3453000.0,3485800.0,3510600.0,3532423.0,3538082.0,3539690.0,3540057.0,3524949.0,3511009.0,3513974.0,3534235.0,3558430.0,3576261.0,3590386.0,3608841.0,3637510.0,3674171.0,3712696.0,3754786.0,3805174.0,3866243.0,3931947.0,3996521.0,4070262.0,4159914.0,4273591.0,4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4994724.0,72.5
