,Date,Country,Total Energy MWh
306,2016-12-31,North Macedonia,2390392.59424518
307,2017-12-31,North Macedonia,2472583.04601193
308,2018-12-31,North Macedonia,1921889.88013504
309,2019-12-31,North Macedonia,2530636.65965185
317,2015-12-31,Malta,0.0
318,2016-12-31,Malta,0.0
319,2017-12-31,Malta,0.0
320,2018-12-31,Malta,0.0
321,2019-12-31,Malta,0.0
329,2015-12-31,Netherlands,44880363.5457882
330,2016-12-31,Netherlands,39296802.7658357
331,2017-12-31,Netherlands,41134314.8929683
332,2018-12-31,Netherlands,40547685.7394348
333,2019-12-31,Netherlands,42614341.4203845
341,2015-12-31,Norway,20508159.6182978
342,2016-12-31,Norway,16091777.5835063
343,2017-12-31,Norway,17825247.4180291
344,2018-12-31,Norway,17291035.7508883
345,2019-12-31,Norway,16261200.5319536
353,2015-12-31,Poland,19249156.590769
354,2016-12-31,Poland,16843552.042065
355,2017-12-31,Poland,20087443.3390052
356,2018-12-31,Poland,16808020.7488073
357,2019-12-31,Poland,20068886.4751308
365,2015-12-31,Portugal,85812.3869769452
366,2016-12-31,Portugal,95313.1799267301
367,2017-12-31,Portugal,88112.3864069625
368,2018-12-31,Portugal,89220.330950439
369,2019-12-31,Portugal,97975.621307297
377,2015-12-31,Romania,17710637.4093694
378,2016-12-31,Romania,17921470.2272186
379,2017-12-31,Romania,19418641.0870912
380,2018-12-31,Romania,16124155.0401428
381,2019-12-31,Romania,17249757.369463
389,2015-12-31,Serbia,11119.8056117739
390,2016-12-31,Serbia,12140.4890548225
391,2017-12-31,Serbia,13237.2304393886
392,2018-12-31,Serbia,12386.0087403539
393,2019-12-31,Serbia,12655.3320445819
401,2015-12-31,Sweden,17632.8304484473
402,2016-12-31,Sweden,14423.5198622705
403,2017-12-31,Sweden,15665.267834982
404,2018-12-31,Sweden,14319.6101597185
405,2019-12-31,Sweden,14970.4400512826
413,2015-12-31,Slovenia,11188488.8522485
414,2016-12-31,Slovenia,10402067.6582765
415,2017-12-31,Slovenia,11689896.4996031
416,2018-12-31,Slovenia,9603862.35933684
417,2019-12-31,Slovenia,10344786.2819797
425,2015-12-31,Turkey,0.0
426,2016-12-31,Turkey,0.0
427,2017-12-31,Turkey,0.0
428,2018-12-31,Turkey,0.0
429,2019-12-31,Turkey,0.0
437,2015-12-31,UnitedKingdom,0.0
438,2016-12-31,UnitedKingdom,0.0
439,2017-12-31,UnitedKingdom,0.0
440,2018-12-31,UnitedKingdom,0.0
441,2019-12-31,UnitedKingdom,0.0
